l1,l2,l3,Actual pose x,Actual pose y,Actual pose z,Actual pose roll,Actual pose pitch,Actual pose yaw,IMU roll,IMU pitch,IMU yaw,Pot 1 distance,Pot 2 distance,Pot 3 distance,Pot 4 distance,Pot 5 distance,Pot 6 distance,Estimated pose x,Estimated pose y,Estimated pose z,Estimated pose roll,Estimated pose pitch,Estimated pose yaw
-70.0,-38.888888888888886,-70.0,4.028793707145468,-6.978075393989741,89.88962719353597,0.3970963550935753,5.101718112583173,8.89555666637309,0.4247803298691372,5.179966022267639,8.944428633615413,116.70937750465411,136.98958233101362,118.78764188334218,155.47238558509693,124.89578397219978,130.3965701407751,5,-7,91,1,7,8
-70.0,-38.888888888888886,-54.44444444444444,6.394190268540683,-3.691687472791614,95.17415806213356,0.2995228013275272,7.675612889430912,4.4627300158787415,0.2215975621769214,7.541739631919092,4.6153199307887345,121.34098151761005,132.00847267777527,124.42868243877031,154.4382616460944,137.43202884194685,129.50081722500485,9,-3,96,-2,8,5
-70.0,-38.888888888888886,-38.888888888888886,8.98222859298005,0.0,100.20483031410565,0.0,10.244456107064524,0.0,0.027735637442194202,10.405164693184446,-0.019790193639149453,125.21325183565966,130.70769056114943,134.2339056388638,153.74155326757955,152.0447989047648,123.05188589806357,10,-4,100,2,11,0
-70.0,-38.888888888888886,-23.333333333333336,11.78210407317846,4.081440574961846,104.9409929514451,-0.5059781443588338,12.79252022672498,-4.511253661327504,-0.6236054941786932,12.797559131577291,-4.5229368599731075,129.09006648651712,127.59863118370504,138.06908873172034,153.87439288229004,168.50790463908885,120.37087237756549,12,2,105,-1,13,-5
-70.0,-38.888888888888886,-7.777777777777779,14.78125234046638,8.533960017728049,109.3435387824918,-1.2237298613518572,15.303542109386285,-9.089872147083398,-1.0918363050013913,15.329482736814244,-9.005619556548197,130.30186529357752,125.56674195142074,142.32136026339484,155.30387255003376,182.55685824493267,119.22574823835721,15,9,109,-2,15,-9
-70.0,-38.888888888888886,7.7777777777777715,17.965423553179733,13.33586844582939,113.37522115264869,-2.159202313473895,17.76056168490831,-13.754687802699072,-1.96728042828335,17.86437997926434,-13.822369176843667,132.75080525731303,124.674788416333,149.00762405219467,157.87246737446006,197.59483640780863,116.78958407018072,18,15,113,-3,18,-14
-70.0,-38.888888888888886,23.33333333333333,21.31877046154733,18.462596797149303,117.00095856366512,-3.318657424500464,20.145777211293186,-18.524196058299697,-3.3480546950359806,20.226425586065808,-18.557040177103385,133.99131905995063,123.46111388918595,154.01511790264732,163.51862723345002,214.62227391776915,115.2989393849871,24,18,118,-4,20,-18
-70.0,-38.888888888888886,38.888888888888886,24.82394964841862,23.886856686440325,120.18812471686029,-4.708199587242101,22.44043273969515,-23.41609301717771,-4.795141135868944,22.489543010121405,-23.570030986876773,136.16022654603015,122.68269809881652,156.55524839385617,167.17819829729373,228.51493255071344,108.25027512500694,22,27,120,-4,22,-25
-70.0,-38.888888888888886,54.44444444444444,28.462235238066555,29.578822517585124,122.90682162005187,-6.333117776616331,24.624758459293297,-28.4466443679437,-6.5351168496694365,24.711826592295886,-28.55424194352062,135.06416944689167,122.68528922526635,158.78366904871177,173.53800552837075,240.61821513442322,107.68617728379812,27,26,123,-5,24,-28
-70.0,-38.888888888888886,70.0,32.2136442633648,35.50633453888027,125.13013352142372,-8.197021610052898,26.67799015468054,-33.62985992896218,-8.189343609383767,26.809756220422177,-33.79669775821328,136.00010734272175,122.35732866032954,162.1553263422855,182.99459484071662,257.194940893422,103.23545195643413,1642,-1188,1086,-2,80,59
